Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_AMAZON_SEARCH_001,Edge Chromium 120,,,19-01-2024 19:18:22,19-01-2024 19:19:01,38.740s,PASSED
,,,,,,,
Test Cases/Global Variables/TC_AMAZON_SEARCH_001,Edge Chromium 120,,,19-01-2024 19:18:22,19-01-2024 19:19:01,38.436s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 120,,,19-01-2024 19:18:23,19-01-2024 19:18:23,0.745s,FAILED
Start listener action : sampleBeforeTestCase,Edge Chromium 120,,,19-01-2024 19:18:23,19-01-2024 19:18:23,0.089s,FAILED
"openBrowser("""")",Edge Chromium 120,,,19-01-2024 19:18:23,19-01-2024 19:18:45,21.777s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Edge Chromium 120,,,19-01-2024 19:18:45,19-01-2024 19:18:50,4.429s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/TC_AMAZON_SEARCH_001/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), category, true)",Edge Chromium 120,,,19-01-2024 19:18:50,19-01-2024 19:18:54,4.128s,PASSED
"setText(findTestObject(""Object Repository/TC_AMAZON_SEARCH_001/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), item)",Edge Chromium 120,,,19-01-2024 19:18:54,19-01-2024 19:18:55,1.459s,PASSED
"click(findTestObject(""Object Repository/TC_AMAZON_SEARCH_001/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Edge Chromium 120,,,19-01-2024 19:18:55,19-01-2024 19:19:00,4.831s,PASSED
closeBrowser(),Edge Chromium 120,,,19-01-2024 19:19:00,19-01-2024 19:19:01,0.510s,PASSED
Start listener action : sampleAfterTestCase,Edge Chromium 120,,,19-01-2024 19:19:01,19-01-2024 19:19:01,0.136s,FAILED
Start listener action : sampleAfterTestCase,Edge Chromium 120,,,19-01-2024 19:19:01,19-01-2024 19:19:01,0.183s,FAILED
