Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_LOGIN_006,Edge Chromium 120,,,19-01-2024 19:19:07,19-01-2024 19:22:03,2m - 56.583s,FAILED
,,,,,,,
Test Cases/Global Variables/TC_LOGIN_006,Edge Chromium 120,,,19-01-2024 19:19:07,19-01-2024 19:22:03,2m - 56.381s,FAILED
Start listener action : sampleBeforeTestCase,Edge Chromium 120,,,19-01-2024 19:19:07,19-01-2024 19:19:08,0.646s,FAILED
Start listener action : sampleBeforeTestCase,Edge Chromium 120,,,19-01-2024 19:19:08,19-01-2024 19:19:08,0.127s,FAILED
"openBrowser("""")",Edge Chromium 120,,,19-01-2024 19:19:08,19-01-2024 19:19:10,2.276s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Edge Chromium 120,,,19-01-2024 19:19:10,19-01-2024 19:19:15,4.426s,PASSED
"click(findTestObject(""Object Repository/TC_LOGIN_006/Page_Amazon.com. Spend less. Smile more/a_Hello, sign in  Account  Lists""))",Edge Chromium 120,,,19-01-2024 19:19:15,19-01-2024 19:19:50,35.085s,FAILED
"setText(findTestObject(""Object Repository/TC_LOGIN_006/Page_Amazon Sign-In/input_Email or mobile phone number_email""), email)",Edge Chromium 120,,,19-01-2024 19:19:50,19-01-2024 19:20:22,31.893s,FAILED
"click(findTestObject(""Object Repository/TC_LOGIN_006/Page_Amazon Sign-In/input_Enter your email or mobile phone numb_fc7402""))",Edge Chromium 120,,,19-01-2024 19:20:22,19-01-2024 19:20:58,35.984s,FAILED
"setText(findTestObject(""Object Repository/TC_LOGIN_006/Page_Amazon Sign-In/input_Forgot your password_password""), password)",Edge Chromium 120,,,19-01-2024 19:20:58,19-01-2024 19:21:29,31.802s,FAILED
"click(findTestObject(""Object Repository/TC_LOGIN_006/Page_Amazon Sign-In/input_Enter your password_signInSubmit""))",Edge Chromium 120,,,19-01-2024 19:21:29,19-01-2024 19:22:03,33.428s,PASSED
closeBrowser(),Edge Chromium 120,,,19-01-2024 19:22:03,19-01-2024 19:22:03,0.372s,PASSED
Start listener action : sampleAfterTestCase,Edge Chromium 120,,,19-01-2024 19:22:03,19-01-2024 19:22:03,0.078s,FAILED
Start listener action : sampleAfterTestCase,Edge Chromium 120,,,19-01-2024 19:22:03,19-01-2024 19:22:03,0.127s,FAILED
