Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_NEW_USER_003,Chrome 120.0.0.0,,,16-01-2024 15:14:20,16-01-2024 15:15:25,1m - 5.147s,PASSED
,,,,,,,
Test Cases/DataDriven Testing/TC_NEW_USER_003,Chrome 120.0.0.0,,,16-01-2024 15:14:20,16-01-2024 15:15:25,1m - 4.863s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,16-01-2024 15:14:21,16-01-2024 15:14:24,2.687s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,16-01-2024 15:14:24,16-01-2024 15:14:28,4.250s,PASSED
"click(findTestObject(""Object Repository/DataDrivenTesting/TC_NEW_USER_003/Page_Amazon.com. Spend less. Smile more/a_Hello, sign in  Account  Lists""))",Chrome 120.0.0.0,,,16-01-2024 15:14:28,16-01-2024 15:14:45,17.152s,PASSED
"click(findTestObject(""Object Repository/DataDrivenTesting/TC_NEW_USER_003/Page_Amazon Sign-In/a_Create your Amazon account""))",Chrome 120.0.0.0,,,16-01-2024 15:14:45,16-01-2024 15:14:47,1.982s,PASSED
"setText(findTestObject(""Object Repository/DataDrivenTesting/TC_NEW_USER_003/Page_Amazon Registration/input_Your name_customerName""), name)",Chrome 120.0.0.0,,,16-01-2024 15:14:47,16-01-2024 15:14:49,1.859s,PASSED
"setText(findTestObject(""Object Repository/DataDrivenTesting/TC_NEW_USER_003/Page_Amazon Registration/input_US 1_email""), email)",Chrome 120.0.0.0,,,16-01-2024 15:14:49,16-01-2024 15:14:50,0.959s,PASSED
"setText(findTestObject(""Object Repository/DataDrivenTesting/TC_NEW_USER_003/Page_Amazon Registration/input_Password_password""), password)",Chrome 120.0.0.0,,,16-01-2024 15:14:50,16-01-2024 15:14:51,0.793s,PASSED
"setText(findTestObject(""DataDrivenTesting/TC_NEW_USER_003/Page_Amazon Registration/input_Re-enter password_passwordCheck""), reenterpassword)",Chrome 120.0.0.0,,,16-01-2024 15:14:51,16-01-2024 15:14:52,0.851s,PASSED
"click(findTestObject(""Object Repository/DataDrivenTesting/TC_NEW_USER_003/Page_Amazon Registration/input_Passwords must match_continue""))",Chrome 120.0.0.0,,,16-01-2024 15:14:52,16-01-2024 15:14:53,1.554s,PASSED
"setText(findTestObject(""Object Repository/DataDrivenTesting/TC_NEW_USER_003/Page_Authentication required/input_Enter OTP_code""), otp)",Chrome 120.0.0.0,,,16-01-2024 15:14:53,16-01-2024 15:15:24,30.842s,PASSED
"click(findTestObject(""Object Repository/DataDrivenTesting/TC_NEW_USER_003/Page_Authentication required/input_Please enter the verification code_a-_1cda9a""))",Chrome 120.0.0.0,,,16-01-2024 15:15:24,16-01-2024 15:15:25,1.037s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,16-01-2024 15:15:25,16-01-2024 15:15:25,0.275s,PASSED
